year,month,day,gender,death,state,causes
1983,1,28,F,3817,chattisgarh,homicide
1983,1,28,M,4010,chattisgarh,homicide
1983,1,29,F,4276,karnataka,homicide
1983,1,29,M,4713,karnataka,homicide
1983,1,30,F,4287,karnataka,homicide
1983,1,30,M,4472,karnataka,homicide
1983,1,31,F,4460,karnataka,homicide
1983,1,31,M,4377,karnataka,homicide
1983,1,99,F,28,karnataka,homicide
1983,1,99,M,26,karnataka,homicide
1983,2,1,F,4209,karnataka,homicide
1983,2,1,M,4286,karnataka,homicide
1983,2,2,F,4308,haryana,homicide
1983,2,2,M,4569,andra pradesh,homicide
1983,2,3,F,4079,andra pradesh,homicide
1983,2,3,M,4048,jammu and kashmir,homicide
1983,2,4,F,3665,jammu and kashmir,homicide
1983,2,4,M,3822,kerala,homicide
1983,2,5,F,4428,kerala,homicide
1983,2,5,M,4585,maharastra,homicide
1983,2,6,F,4443,maharastra,homicide
1983,2,6,M,4789,uttar pradesh,natural
1983,2,7,F,4317,uttar pradesh,natural
1983,2,7,M,4511,uttar pradesh,natural
1983,2,8,F,4328,uttar pradesh,natural
1983,2,8,M,4471,uttar pradesh,natural
1983,2,9,F,4376,uttar pradesh,natural
1983,2,9,M,4629,uttar pradesh,natural
1983,2,10,F,3907,uttar pradesh,natural
1983,2,10,M,4214,uttar pradesh,natural
1983,2,11,F,3657,uttar pradesh,natural
1983,2,11,M,3754,uttar pradesh,natural
1983,2,12,F,4329,uttar pradesh,natural
1983,2,12,M,4576,uttar pradesh,natural
1983,2,13,F,4308,uttar pradesh,natural
1983,2,13,M,4588,uttar pradesh,natural
1983,2,14,F,4474,uttar pradesh,natural
1983,2,14,M,4649,uttar pradesh,natural
1983,2,15,F,4238,uttar pradesh,natural
1983,2,15,M,4667,uttar pradesh,natural
1983,2,16,F,4370,uttar pradesh,natural
1983,2,16,M,4571,uttar pradesh,natural
1983,2,17,F,3944,uttar pradesh,natural
1983,2,17,M,4210,uttar pradesh,natural
1983,2,18,F,3580,uttar pradesh,natural
1983,2,18,M,3829,uttar pradesh,natural
1983,2,19,F,4128,uttar pradesh,natural
1983,2,19,M,4485,uttar pradesh,natural
1983,2,20,F,4493,uttar pradesh,natural
1983,2,20,M,4647,uttar pradesh,natural
1983,2,21,F,4455,maharastra,natural
1983,2,21,M,4887,maharastra,natural
1983,2,22,F,4291,maharastra,natural
1983,2,22,M,4525,maharastra,natural
1983,2,23,F,4376,maharastra,natural
1983,2,23,M,4557,maharastra,natural
1983,2,24,F,4139,maharastra,natural
1983,2,24,M,4211,maharastra,natural
1983,2,25,F,3852,maharastra,natural
1983,2,25,M,4041,maharastra,natural
1983,2,26,F,4321,maharastra,natural
1983,2,26,M,4546,maharastra,natural
1983,2,27,F,4329,madya pradesh,natural
1983,2,27,M,4698,madya pradesh,natural
1983,2,28,F,4351,madya pradesh,natural
1983,2,28,M,4583,madya pradesh,natural
1983,2,29,F,3,madya pradesh,natural
1983,2,29,M,4,madya pradesh,natural
1983,3,1,F,4348,punjab,natural
1983,3,1,M,4701,punjab,natural
1983,3,2,F,4524,punjab,natural
1983,3,2,M,4726,punjab,natural
1983,3,3,F,4219,punjab,natural
1983,3,3,M,4212,punjab,natural
1983,3,4,F,3772,punjab,natural
1983,3,4,M,4062,punjab,natural
1983,3,5,F,4344,punjab,natural
1983,3,5,M,4638,punjab,natural
1983,3,6,F,4634,punjab,natural
1983,3,6,M,4776,punjab,natural
1983,3,7,F,4443,punjab,natural
1983,3,7,M,4644,punjab,natural
1983,3,8,F,4549,telangana,natural
1983,3,8,M,4487,telangana,natural
1983,3,9,F,4520,telangana,natural
1983,3,9,M,4580,telangana,natural
1983,3,10,F,4073,telangana,natural
1983,3,10,M,4142,telangana,natural
1983,3,11,F,3805,telangana,natural
1983,3,11,M,3870,telangana,natural
1983,3,12,F,4466,telangana,natural
1983,3,12,M,4725,telangana,natural
1983,3,13,F,4523,uttarakandh,natural
1983,3,13,M,4888,uttarakandh,natural
1983,3,14,F,4430,uttarakandh,natural
1983,3,14,M,4483,uttarakandh,natural
1983,3,15,F,4423,uttarakandh,natural
1983,3,15,M,4669,uttarakandh,natural
1983,3,16,F,4393,uttarakandh,natural
1983,3,16,M,4506,uttarakandh,natural
1983,3,17,F,3919,uttarakandh,natural
1983,3,17,M,4141,uttarakandh,natural
1983,3,18,F,3644,uttarakandh,natural
1983,3,18,M,3929,uttarakandh,natural
1983,3,19,F,4250,uttarakandh,natural
1983,3,19,M,4478,uttarakandh,natural
1983,3,20,F,4330,uttarakandh,natural
1983,3,20,M,4722,uttarakandh,natural
1983,3,21,F,4321,uttarakandh,natural
1983,3,21,M,4476,uttarakandh,natural
1983,3,22,F,4314,west bengal,accident
1983,3,22,M,4490,west bengal,accident
1983,3,23,F,4263,west bengal,accident
1983,3,23,M,4707,west bengal,accident
1983,3,24,F,3929,west bengal,accident
1983,3,24,M,3919,west bengal,accident
1983,3,25,F,3807,west bengal,accident
1983,3,25,M,3796,west bengal,accident
1983,3,26,F,4264,west bengal,accident
1983,3,26,M,4704,west bengal,accident
1983,3,27,F,4493,west bengal,accident
1983,3,27,M,4617,west bengal,accident
1983,3,28,F,4320,west bengal,accident
1983,3,28,M,4432,west bengal,accident
1983,3,29,F,4308,west bengal,accident
1983,3,29,M,4528,west bengal,accident
1983,3,30,F,4321,west bengal,suicide
1983,3,30,M,4598,west bengal,suicide
1983,3,31,F,3810,west bengal,suicide
1983,3,31,M,4077,west bengal,suicide
1983,4,1,F,3709,rajasthan,suicide
1983,4,1,M,3786,rajasthan,suicide
1983,4,2,F,4328,rajasthan,suicide
1983,4,2,M,4578,rajasthan,suicide
1983,4,3,F,4284,rajasthan,suicide
1983,4,3,M,4751,rajasthan,suicide
1983,4,4,F,4206,rajasthan,suicide
1983,4,4,M,4560,rajasthan,suicide
1983,4,5,F,4100,rajasthan,homicide
1983,4,5,M,4407,rajasthan,homicide
1983,4,6,F,4243,rajasthan,homicide
1983,4,6,M,4372,rajasthan,homicide
1983,4,7,F,3932,rajasthan,homicide
1983,4,7,M,4128,rajasthan,homicide
1983,4,8,F,3612,rajasthan,homicide
1983,4,8,M,3743,rajasthan,homicide
1983,4,9,F,4160,rajasthan,homicide
1983,4,9,M,4289,rajasthan,homicide
1983,4,10,F,4378,rajasthan,homicide
1983,4,10,M,4465,rajasthan,homicide
1983,4,11,F,4295,rajasthan,homicide
1983,4,11,M,4486,rajasthan,homicide
1983,4,12,F,4154,rajasthan,natural
1983,4,12,M,4459,rajasthan,natural
1983,4,13,F,4111,rajasthan,natural
1983,4,13,M,4505,rajasthan,natural
1983,4,14,F,3763,rajasthan,natural
1983,4,14,M,3682,rajasthan,natural
1983,4,15,F,3468,haryana,natural
1983,4,15,M,3699,haryana,natural
1983,4,16,F,4212,haryana,natural
1983,4,16,M,4447,haryana,natural
1983,4,17,F,4449,haryana,natural
1983,4,17,M,4468,haryana,natural
1983,4,18,F,4325,haryana,natural
1983,4,18,M,4566,haryana,natural
1983,4,19,F,4279,haryana,natural
1983,4,19,M,4393,haryana,natural
1983,4,20,F,4020,haryana,natural
1983,4,20,M,4520,haryana,accident
1983,4,21,F,3663,haryana,accident
1983,4,21,M,3916,haryana,accident
1983,4,22,F,3323,haryana,accident
1983,4,22,M,3631,haryana,accident
1983,4,23,F,4112,tirpura,accident
1983,4,23,M,4260,tirpura,accident
1983,4,24,F,4162,tirpura,accident
1983,4,24,M,4595,tirpura,accident
1983,4,25,F,4060,tirpura,accident
1983,4,25,M,4292,tirpura,accident
1983,4,26,F,4175,tirpura,accident
1983,4,26,M,4333,tirpura,accident
1983,4,27,F,4132,tirpura,accident
1983,4,27,M,4405,tirpura,accident
1983,4,28,F,3612,tirpura,accident
1983,4,28,M,3778,tirpura,accident
1983,4,29,F,3249,tirpura,accident
1983,4,29,M,3508,tirpura,accident
1983,4,30,F,4131,tirpura,suicide
1983,4,30,M,4383,tirpura,suicide
1983,4,31,M,2,tirpura,suicide
1983,5,1,F,4370,tirpura,suicide
1983,5,1,M,4476,tirpura,suicide
1983,5,2,F,3971,tirpura,suicide
1983,5,2,M,4530,tirpura,suicide
1983,5,3,F,4122,tirpura,suicide
1983,5,3,M,4199,tirpura,suicide
1983,5,4,F,3980,tirpura,suicide
1983,5,4,M,4316,tirpura,suicide
1983,5,5,F,3558,uttarakandh,suicide
1983,5,5,M,3988,uttarakandh,homicide
1983,5,6,F,3378,uttarakandh,homicide
1983,5,6,M,3514,uttarakandh,homicide
1983,5,7,F,4038,uttarakandh,homicide
1983,5,7,M,4236,uttarakandh,homicide
1983,5,8,F,4423,uttarakandh,homicide
1983,5,8,M,4557,uttarakandh,homicide
1983,5,9,F,4338,uttarakandh,homicide
1983,5,9,M,4288,uttarakandh,homicide
1983,5,10,F,4012,uttarakandh,homicide
1983,5,10,M,4426,uttarakandh,homicide
1983,5,11,F,4202,uttarakandh,homicide
1983,5,11,M,4417,uttarakandh,homicide
1983,5,12,F,3790,uttarakandh,homicide
1983,5,12,M,3649,uttarakandh,homicide
1983,5,13,F,3550,manipur,homicide
1983,5,13,M,3439,manipur,homicide
1983,5,14,F,3985,manipur,homicide
1983,5,14,M,4251,manipur,homicide
1983,5,15,F,4311,manipur,homicide
1983,5,15,M,4465,manipur,homicide
1983,5,16,F,4127,manipur,natural
1983,5,16,M,4418,manipur,natural
1983,5,17,F,4136,manipur,natural
1983,5,17,M,4413,manipur,natural
1983,5,18,F,4100,manipur,natural
1983,5,18,M,4484,manipur,natural
1983,5,19,F,3674,manipur,natural
1983,5,19,M,4025,manipur,natural
1983,5,20,F,3548,chattisgarh,natural
1983,5,20,M,3617,chattisgarh,natural
1983,5,21,F,4222,chattisgarh,natural
1983,5,21,M,4439,chattisgarh,natural
1983,5,22,F,4230,chattisgarh,natural
1983,5,22,M,4537,chattisgarh,natural
1983,5,23,F,4182,chattisgarh,accident
1983,5,23,M,4324,chattisgarh,accident
1983,5,24,F,4043,chattisgarh,accident
1983,5,24,M,4386,chattisgarh,accident
1983,5,25,F,4380,chattisgarh,accident
1983,5,25,M,4717,chattisgarh,accident
1983,5,26,F,3624,chattisgarh,accident
1983,5,26,M,4084,chattisgarh,accident
1983,5,27,F,3540,chattisgarh,accident
1983,5,27,M,3639,chattisgarh,accident
1983,5,28,F,3517,chattisgarh,accident
1983,5,28,M,3786,chattisgarh,accident
1983,5,29,F,4293,chattisgarh,accident
1983,5,29,M,4616,sikkim,accident
1983,5,30,F,4176,sikkim,suicide
1983,5,30,M,4609,sikkim,suicide
1983,5,31,F,4231,sikkim,suicide
1983,5,31,M,4357,sikkim,suicide
1983,6,1,F,4353,assam,suicide
1983,6,1,M,4502,assam,suicide
1983,6,2,F,3777,assam,suicide
1983,6,2,M,4069,assam,suicide
1983,6,3,F,3482,assam,suicide
1983,6,3,M,3727,assam,suicide
1983,6,4,F,4220,assam,suicide
1983,6,4,M,4285,assam,suicide
1983,6,5,F,4280,assam,suicide
1983,6,5,M,4618,assam,homicide
1983,6,6,F,4160,assam,homicide
1983,6,6,M,4546,assam,homicide
1983,6,7,F,4244,assam,homicide
1983,6,7,M,4542,assam,homicide
1983,6,8,F,4131,assam,homicide
1983,6,8,M,4670,sikkim,homicide
1983,6,9,F,3847,sikkim,homicide
1983,6,9,M,4083,sikkim,homicide
1983,6,10,F,3561,sikkim,homicide
1983,6,10,M,3769,sikkim,homicide
1983,6,11,F,4203,sikkim,homicide
1983,6,11,M,4693,sikkim,homicide
1983,6,12,F,4423,sikkim,homicide
1983,6,12,M,4603,sikkim,homicide
1983,6,13,F,4115,sikkim,homicide
1983,6,13,M,4615,sikkim,homicide
1983,6,14,F,4197,sikkim,homicide
1983,6,14,M,4428,sikkim,homicide
1983,6,15,F,4300,sikkim,homicide
1983,6,15,M,4522,sikkim,homicide
1983,6,16,F,3908,sikkim,homicide
1983,6,16,M,4117,sikkim,homicide
1983,6,17,F,3617,sikkim,homicide
1983,6,17,M,3788,sikkim,homicide
1983,6,18,F,4358,sikkim,homicide
1983,6,18,M,4601,sikkim,homicide
1983,6,19,F,4357,sikkim,homicide
1983,6,19,M,4689,sikkim,homicide
1983,6,20,F,4257,sikkim,homicide
1983,6,20,M,4445,sikkim,homicide
1983,6,21,F,4344,sikkim,homicide
1983,6,21,M,4438,sikkim,homicide
1983,6,22,F,4337,sikkim,homicide
1983,6,22,M,4591,sikkim,homicide
1983,6,23,F,3812,sikkim,homicide
1983,6,23,M,3970,sikkim,homicide
1983,6,24,F,3543,sikkim,homicide
1983,6,24,M,3738,sikkim,homicide
1983,6,25,F,4228,sikkim,homicide
1983,6,25,M,4562,sikkim,homicide
1983,6,26,F,4417,sikkim,homicide
1983,6,26,M,4664,sikkim,homicide
1983,6,27,F,4404,sikkim,homicide
1983,6,27,M,4608,sikkim,homicide
1983,6,28,F,4314,sikkim,homicide
1983,6,28,M,4754,sikkim,homicide
1983,6,29,F,4396,sikkim,homicide
1983,6,29,M,4612,sikkim,homicide
1983,6,30,F,3912,sikkim,homicide
1983,6,30,M,4019,sikkim,homicide
1983,6,31,F,2,sikkim,homicide
1983,6,31,M,6,sikkim,homicide
1983,7,1,F,3611,sikkim,homicide
1983,7,1,M,3950,sikkim,homicide
1983,7,2,F,4445,sikkim,homicide
1983,7,2,M,4558,sikkim,homicide
1983,7,3,F,4686,sikkim,homicide
1983,7,3,M,5143,sikkim,homicide
1983,7,4,F,3861,sikkim,homicide
1983,7,4,M,4049,sikkim,homicide
1983,7,5,F,4533,sikkim,homicide
1983,7,5,M,4635,sikkim,homicide
1983,7,6,F,4576,sikkim,homicide
1983,7,6,M,4874,sikkim,homicide
1983,7,7,F,3956,sikkim,homicide
1983,7,7,M,4396,sikkim,homicide
1983,7,8,F,3879,sikkim,homicide
1983,7,8,M,3908,sikkim,homicide
1983,7,9,F,4623,sikkim,homicide
1983,7,9,M,4703,sikkim,homicide
1983,7,10,F,4655,sikkim,homicide
1983,7,10,M,4972,sikkim,homicide
1983,7,11,F,4482,sikkim,homicide
1983,7,11,M,4715,sikkim,homicide
1983,7,12,F,4284,sikkim,homicide
1983,7,12,M,4655,sikkim,homicide
1983,7,13,F,4345,sikkim,homicide
1983,7,13,M,4683,sikkim,homicide
1983,7,14,F,4115,sikkim,homicide
1983,7,14,M,4330,sikkim,homicide
1983,7,15,F,3640,sikkim,homicide
1983,7,15,M,3911,sikkim,natural
1983,7,16,F,4483,sikkim,natural
1983,7,16,M,4607,sikkim,natural
1983,7,17,F,4559,sikkim,natural
1983,7,17,M,5080,sikkim,natural
1983,7,18,F,4335,sikkim,natural
1983,7,18,M,4937,sikkim,natural
1983,7,19,F,4526,sikkim,natural
1983,7,19,M,4764,sikkim,natural
1983,7,20,F,4557,sikkim,natural
1983,7,20,M,4913,sikkim,natural
1983,7,21,F,4009,sikkim,natural
1983,7,21,M,4286,sikkim,natural
1983,7,22,F,3917,sikkim,natural
1983,7,22,M,3727,sikkim,natural
1983,7,23,F,4574,sikkim,natural
1983,7,23,M,4662,sikkim,natural
1983,7,24,F,4484,sikkim,natural
1983,7,24,M,4966,sikkim,natural
1983,7,25,F,4665,sikkim,natural
1983,7,25,M,4828,sikkim,natural
1983,7,26,F,4613,sikkim,natural
1983,7,26,M,4719,sikkim,natural
1983,7,27,F,4618,sikkim,natural
1983,7,27,M,4798,sikkim,natural
1983,7,28,F,4117,sikkim,natural
1983,7,28,M,4307,sikkim,natural
1983,7,29,F,3764,sikkim,natural
1983,7,29,M,3981,sikkim,natural
1983,7,30,F,4502,sikkim,natural
1983,7,30,M,4723,sikkim,natural
1983,7,31,F,4613,sikkim,natural
1983,7,31,M,5089,sikkim,natural
1983,8,1,F,4588,sikkim,accident
1983,8,1,M,4849,sikkim,accident
1983,8,2,F,4654,sikkim,accident
1983,8,2,M,4745,sikkim,accident
1983,8,3,F,4613,sikkim,accident
1983,8,3,M,4808,sikkim,accident
1983,8,4,F,4021,sikkim,accident
1983,8,4,M,4074,sikkim,accident
1983,8,5,F,3649,sikkim,accident
1983,8,5,M,3967,sikkim,accident
1983,8,6,F,4598,sikkim,accident
1983,8,6,M,4846,sikkim,accident
1983,8,7,F,4817,sikkim,accident
1983,8,7,M,4953,sikkim,accident
1983,8,8,F,4672,sikkim,accident
1983,8,8,M,4926,sikkim,accident
1983,8,9,F,4521,sikkim,accident
1983,8,9,M,4897,sikkim,accident
1983,8,10,F,4815,sikkim,accident
1983,8,10,M,5014,sikkim,accident
1983,8,11,F,4034,sikkim,accident
1983,8,11,M,4158,sikkim,accident
1983,8,12,F,3939,sikkim,accident
1983,8,12,M,3969,sikkim,accident
1983,8,13,F,4474,sikkim,accident
1983,8,13,M,4734,sikkim,homicide
1983,8,14,F,4687,sikkim,homicide
1983,8,14,M,5155,sikkim,homicide
1983,8,15,F,4608,sikkim,homicide
1983,8,15,M,4932,sikkim,homicide
1983,8,16,F,4458,sikkim,homicide
1983,8,16,M,4825,sikkim,homicide
1983,8,17,F,4639,sikkim,homicide
1983,8,17,M,4670,sikkim,homicide
1983,8,18,F,3988,sikkim,homicide
1983,8,18,M,4292,sikkim,homicide
1983,8,19,F,3885,sikkim,homicide
1983,8,19,M,3896,sikkim,homicide
1983,8,20,F,4739,sikkim,homicide
1983,8,20,M,4728,sikkim,homicide
1983,8,21,F,4750,sikkim,homicide
1983,8,21,M,4891,sikkim,homicide
1983,8,22,F,4525,sikkim,homicide
1983,8,22,M,4892,sikkim,homicide
1983,8,23,F,4400,sikkim,homicide
1983,8,23,M,4649,sikkim,homicide
1983,8,24,F,4580,sikkim,homicide
1983,8,24,M,4768,sikkim,homicide
1983,8,25,F,4099,sikkim,homicide
1983,8,25,M,4221,sikkim,homicide
1983,8,26,F,3927,sikkim,homicide
1983,8,26,M,4051,sikkim,homicide
1983,8,27,F,4627,sikkim,homicide
1983,8,27,M,4870,sikkim,homicide
1983,8,28,F,4769,sikkim,homicide
1983,8,28,M,4932,sikkim,homicide
1983,8,29,F,4539,sikkim,accident
1983,8,29,M,4869,sikkim,accident
1983,8,30,F,4635,sikkim,accident
1983,8,30,M,4921,sikkim,accident
1983,8,31,F,4466,sikkim,accident
1983,8,31,M,4925,sikkim,accident
1983,9,1,F,4106,sikkim,accident
1983,9,1,M,4294,sikkim,accident
1983,9,2,F,3790,sikkim,accident
1983,9,2,M,3917,sikkim,accident
1983,9,3,F,3815,sikkim,accident
1983,9,3,M,3966,sikkim,accident
1983,9,4,F,4711,sikkim,accident
1983,9,4,M,4803,sikkim,accident
1983,9,5,F,4869,sikkim,accident
1983,9,5,M,5028,sikkim,accident
1983,9,6,F,4475,sikkim,suicide
1983,9,6,M,4736,sikkim,suicide
1983,9,7,F,4479,sikkim,suicide
1983,9,7,M,4938,sikkim,suicide
1983,9,8,F,4176,sikkim,suicide
1983,9,8,M,4081,sikkim,suicide
1983,9,9,F,3922,sikkim,suicide
1983,9,9,M,4039,sikkim,suicide
1983,9,10,F,4449,sikkim,suicide
1983,9,10,M,4716,sikkim,suicide
1983,9,11,F,4739,sikkim,suicide
1983,9,11,M,4962,sikkim,suicide
1983,9,12,F,4540,sikkim,suicide
1983,9,12,M,4763,sikkim,suicide
1983,9,13,F,4445,sikkim,suicide
1983,9,13,M,4661,sikkim,suicide
1983,9,14,F,4683,sikkim,suicide
1983,9,14,M,4986,sikkim,suicide
1983,9,15,F,4172,sikkim,suicide
1983,9,15,M,4335,sikkim,natural
1983,9,16,F,3904,sikkim,natural
1983,9,16,M,4090,sikkim,natural
1983,9,17,F,4725,sikkim,natural
1983,9,17,M,4813,sikkim,natural
1983,9,18,F,4733,himachal pradesh,natural
1983,9,18,M,4892,himachal pradesh,natural
1983,9,19,F,4612,himachal pradesh,natural
1983,9,19,M,4752,himachal pradesh,natural
1983,9,20,F,4852,himachal pradesh,natural
1983,9,20,M,4916,himachal pradesh,natural
1983,9,21,F,4737,himachal pradesh,natural
1983,9,21,M,4880,himachal pradesh,natural
1983,9,22,F,4286,himachal pradesh,natural
1983,9,22,M,4445,himachal pradesh,natural
1983,9,23,F,4079,himachal pradesh,natural
1983,9,23,M,4177,himachal pradesh,natural
1983,9,24,F,4847,himachal pradesh,natural
1983,9,24,M,4764,himachal pradesh,natural
1983,9,25,F,4878,himachal pradesh,natural
1983,9,25,M,5211,himachal pradesh,natural
1983,9,26,F,4696,himachal pradesh,natural
1983,9,26,M,5099,himachal pradesh,natural
1983,9,27,F,4715,himachal pradesh,natural
1983,9,27,M,4882,himachal pradesh,natural
1983,9,28,F,4680,himachal pradesh,natural
1983,9,28,M,4867,himachal pradesh,natural
1983,9,29,F,4144,himachal pradesh,homicide
1983,9,29,M,4289,himachal pradesh,homicide
1983,9,30,F,3940,himachal pradesh,homicide
1983,9,30,M,4074,himachal pradesh,homicide
1983,9,31,F,4,himachal pradesh,homicide
1983,9,31,M,2,himachal pradesh,homicide
1983,10,1,F,4456,himachal pradesh,homicide
1983,10,1,M,4841,himachal pradesh,homicide
1983,10,2,F,4794,himachal pradesh,homicide
1983,10,2,M,4882,himachal pradesh,homicide
1983,10,3,F,4387,himachal pradesh,homicide
1983,10,3,M,4682,himachal pradesh,homicide
1983,10,4,F,4471,himachal pradesh,homicide
1983,10,4,M,4478,himachal pradesh,homicide
1983,10,5,F,4400,himachal pradesh,homicide
1983,10,5,M,4847,himachal pradesh,homicide
1983,10,6,F,3997,himachal pradesh,homicide
1983,10,6,M,4177,himachal pradesh,homicide
1983,10,7,F,3686,himachal pradesh,homicide
1983,10,7,M,3930,himachal pradesh,homicide
1983,10,8,F,4488,himachal pradesh,homicide
1983,10,8,M,4568,himachal pradesh,homicide
1983,10,9,F,4553,himachal pradesh,homicide
1983,10,9,M,4756,himachal pradesh,natural
1983,10,10,F,4428,himachal pradesh,natural
1983,10,10,M,4699,himachal pradesh,natural
1983,10,11,F,4342,himachal pradesh,natural
1983,10,11,M,4480,himachal pradesh,natural
1983,10,12,F,4431,himachal pradesh,natural
1983,10,12,M,4497,himachal pradesh,natural
1983,10,13,F,3776,himachal pradesh,natural
1983,10,13,M,4152,himachal pradesh,natural
1983,10,14,F,3585,himachal pradesh,natural
1983,10,14,M,3858,himachal pradesh,natural
1983,10,15,F,4235,himachal pradesh,natural
1983,10,15,M,4588,himachal pradesh,natural
1983,10,16,F,4377,himachal pradesh,natural
1983,10,16,M,4728,himachal pradesh,natural
1983,10,17,F,4224,bihar,natural
1983,10,17,M,4490,bihar,natural
1983,10,18,F,4154,bihar,natural
1983,10,18,M,4548,bihar,natural
1983,10,19,F,4249,bihar,homicide
1983,10,19,M,4604,bihar,homicide
1983,10,20,F,3739,bihar,homicide
1983,10,20,M,3898,bihar,homicide
1983,10,21,F,3457,bihar,homicide
1983,10,21,M,3589,bihar,homicide
1983,10,22,F,4176,bihar,homicide
1983,10,22,M,4254,bihar,homicide
1983,10,23,F,4498,bihar,homicide
1983,10,23,M,4757,bihar,homicide
1983,10,24,F,4382,bihar,homicide
1983,10,24,M,4423,bihar,accident
1983,10,25,F,4173,bihar,accident
1983,10,25,M,4334,bihar,accident
1983,10,26,F,4326,bihar,accident
1983,10,26,M,4427,bihar,accident
1983,10,27,F,3754,bihar,accident
1983,10,27,M,3992,bihar,accident
1983,10,28,F,3593,bihar,accident
1983,10,28,M,3781,bihar,accident
1983,10,29,F,4077,bihar,accident
1983,10,29,M,4487,bihar,accident
1983,10,30,F,4219,bihar,accident
1983,10,30,M,4509,bihar,accident
1983,10,31,F,4161,bihar,accident
1983,10,31,M,4534,bihar,accident
1983,11,1,F,4297,tamil nadhu,suicide
1983,11,1,M,4466,tamil nadhu,suicide
1983,11,2,F,4195,tamil nadhu,suicide
1983,11,2,M,4564,tamil nadhu,suicide
1983,11,3,F,3736,tamil nadhu,suicide
1983,11,3,M,4005,tamil nadhu,suicide
1983,11,4,F,3535,tamil nadhu,suicide
1983,11,4,M,3710,tamil nadhu,suicide
1983,11,5,F,4143,tamil nadhu,suicide
1983,11,5,M,4569,tamil nadhu,suicide
1983,11,6,F,4197,tamil nadhu,suicide
1983,11,6,M,4411,tamil nadhu,suicide
1983,11,7,F,4186,tamil nadhu,suicide
1983,11,7,M,4530,tamil nadhu,suicide
1983,11,8,F,4249,tamil nadhu,suicide
1983,11,8,M,4397,tamil nadhu,suicide
1983,11,9,F,4365,tamil nadhu,suicide
1983,11,9,M,4632,tamil nadhu,suicide
1983,11,10,F,3778,tamil nadhu,homicide
1983,11,10,M,4081,tamil nadhu,homicide
1983,11,11,F,3580,tamil nadhu,homicide
1983,11,11,M,3840,tamil nadhu,homicide
1983,11,12,F,4314,tamil nadhu,homicide
1983,11,12,M,4370,tamil nadhu,homicide
1983,11,13,F,4364,tamil nadhu,homicide
1983,11,13,M,4785,tamil nadhu,homicide
1983,11,14,F,4393,sikkim,homicide
1983,11,14,M,4446,sikkim,homicide
1983,11,15,F,4259,sikkim,homicide
1983,11,15,M,4462,sikkim,homicide
1983,11,16,F,4453,sikkim,homicide
1983,11,16,M,4686,sikkim,homicide
1983,11,17,F,3856,sikkim,homicide
1983,11,17,M,4021,sikkim,homicide
1983,11,18,F,3679,sikkim,homicide
1983,11,18,M,3741,sikkim,homicide
1983,11,19,F,4353,sikkim,homicide
1983,11,19,M,4522,sikkim,natural
1983,11,20,F,4430,sikkim,natural
1983,11,20,M,4969,sikkim,natural
1983,11,21,F,4140,sikkim,natural
1983,11,21,M,4456,sikkim,natural
1983,11,22,F,3452,sikkim,natural
1983,11,22,M,3597,sikkim,natural
1983,11,23,F,4055,sikkim,natural
